iter	Passed	Remaining
0	5	1187
1	11	1140
2	17	1151
3	23	1145
4	28	1122
5	33	1093
6	39	1086
7	44	1076
8	50	1063
9	56	1074
10	62	1066
11	67	1058
12	72	1049
13	78	1045
14	84	1045
15	90	1040
16	96	1033
17	101	1025
18	106	1018
19	111	1006
20	116	996
21	122	988
22	127	978
23	132	972
24	138	966
25	143	957
26	148	950
27	153	942
28	158	936
29	163	929
30	168	918
31	173	910
32	178	901
33	182	893
34	187	884
35	192	878
36	198	873
37	203	867
38	208	862
39	214	857
40	218	848
41	224	843
42	229	837
43	234	830
44	239	826
45	244	819
46	250	814
47	255	808
48	260	803
49	265	796
50	270	789
51	275	784
52	280	778
53	285	772
54	290	766
55	296	761
56	301	756
57	306	751
58	312	746
59	317	740
60	322	735
61	328	730
62	333	725
63	338	719
64	343	713
65	348	708
66	353	702
67	359	696
68	364	691
69	369	686
70	374	680
71	379	675
72	384	669
73	389	663
74	395	658
75	400	652
76	404	646
77	409	641
78	414	635
79	419	629
80	425	624
81	430	619
82	435	614
83	440	608
84	446	603
85	451	598
86	456	592
87	461	587
88	466	582
89	472	576
90	477	571
91	482	566
92	487	561
93	492	555
94	497	550
95	503	545
96	508	540
97	514	535
98	519	530
99	525	525
100	530	520
101	535	514
102	540	509
103	546	504
104	551	498
105	556	493
106	561	488
107	567	483
108	573	478
109	578	473
110	583	467
111	588	462
112	593	457
113	599	452
114	604	447
115	610	442
116	615	436
117	621	431
118	626	426
119	631	421
120	637	416
121	642	410
122	648	405
123	653	400
124	658	394
125	663	389
126	668	384
127	673	378
128	678	373
129	683	368
130	689	363
131	694	357
132	700	352
133	705	347
134	711	342
135	715	336
136	721	331
137	726	326
138	731	320
139	736	315
140	741	310
141	746	304
142	751	299
143	756	294
144	762	289
145	767	283
146	772	278
147	778	273
148	783	268
149	788	262
150	793	257
151	799	252
152	804	247
153	809	241
154	814	236
155	819	231
156	824	225
157	830	220
158	835	215
159	840	210
160	845	204
161	850	199
162	856	194
163	861	189
164	867	183
165	872	178
166	878	173
167	883	168
168	888	163
169	893	157
170	899	152
171	904	147
172	909	142
173	915	136
174	920	131
175	926	126
176	931	120
177	935	115
178	941	110
179	946	105
180	951	99
181	956	94
182	962	89
183	967	84
184	972	78
185	977	73
186	982	68
187	988	63
188	993	57
189	997	52
190	1002	47
191	1008	42
192	1013	36
193	1017	31
194	1023	26
195	1028	20
196	1034	15
197	1039	10
198	1044	5
199	1049	0
